Symbol,Name,Industry,Cur_Month,Accum,%MoM,%YoY,%YoY_Accum,profitMargins,bookValue,priceToBook,trailingEps,forwardEps,trailingPE,forwardPE
6753,龍德造船 ,航運業類,347606,347606,-19.0701139657521,-40.8661362403012,-40.8661362403012,0.08777001,24.943,3.2073126,3.93,,20.356234,
6754,匯僑設計 ,居家生活類,401912,401912,-22.7284000699826,97.6746016132205,97.6746016132205,0.07309,31.632,1.9252656,5.03,,12.107356,
6756,威鋒電子 ,半導體業類,168405,168405,14.809588088518,52.03809867738,52.03809867738,0.106529996,41.484,6.388005,3.05,,86.88525,
6757,台灣虎航-創 ,航運業類,1289683,1289683,13.0912002188721,42.8867560168448,42.8867560168448,-0.098780006,6.011,5.3734818,-1.41,,,
6768,志強-KY ,,,,,,,0.048449997,71.494,1.0056788,3.67,5.45,19.59128,13.192661
6770,力積電 ,半導體業類,3570405,3570405,4.14800407093746,-9.20627824585066,-9.20627824585066,-0.03733,22.954,1.171909,-0.4,2.15,,12.511627
6776,展碁國際 ,電子通路業類,1955592,1955592,4.72613703242957,16.6665075789393,16.6665075789393,0.01843,23.665,2.8734417,5.03,5.7,13.518887,11.929825
6781,AES-KY ,,,,,,,0.20226999,151.694,4.7595816,25.91,30.44,27.865688,23.71879
6782,視陽 ,生技醫療類,236306,236306,-8.41775635013526,22.6646041402795,22.6646041402795,0.13345,46.378,5.6061068,4.78,12.14,54.393303,21.416803
6789,采鈺 ,半導體業類,666117,666117,-3.39900370528819,26.9217358167008,26.9217358167008,0.049200002,52.536,5.8531294,1.13,8.94,272.1239,34.395973
6790,永豐實 ,造紙工業類,1032858,1032858,17.3878354480445,30.8969383901392,30.8969383901392,0.07455,20.365,2.2612324,2.87,5.26,16.045296,8.754752
6792,詠業 ,通信網路業類,117044,117044,52.3038686254863,19.3559242527763,19.3559242527763,0.15767999,34.12,2.5146544,4.45,,19.280901,
6796,晉弘 ,生技醫療類,37026,37026,-30.4884917207975,24.8684743019021,24.8684743019021,0.15053001,18.938,5.15894,2.39,,40.87866,
